yearID,teamID,dWAR
2023,ARI,4.51
2023,ATL,1.73
2023,BAL,2.15
2023,BOS,-1.17
2023,CHC,3.04
2023,CHW,-4.98
2023,CIN,-5.22
2023,CLE,1.1700000000000002
2023,COL,2.7800000000000002
2023,DET,-1.5
2023,HOU,3.09
2023,KCR,-2.53
2023,LAA,-1.91
2023,LAD,2.47
2023,MIA,-2.79
2023,MIL,4.359999999999999
2023,MIN,0.20000000000000004
2023,NYM,-2.84
2023,NYY,-0.8299999999999998
2023,OAK,-6.38
2023,PHI,-2.47
2023,PIT,-2.2099999999999995
2023,SDP,3.84
2023,SEA,-0.6699999999999998
2023,SFG,-4.47
2023,STL,-2.4200000000000004
2023,TBR,2.8499999999999996
2023,TEX,4.2299999999999995
2023,TOR,6.11
2023,WSN,-0.21000000000000002
